stream|stream_partition|ts|kafka_offset
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:34.624000|74607910
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:35.638000|74607916
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:36.652000|74607922
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:37.666000|74607930
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:38.680000|74607936
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:39.694000|74607942
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:40.708000|74607948
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:41.722000|74607954
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:42.736000|74607962
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:43.751000|74607968
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:44.803000|74607974
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:45.813000|74607985
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:46.827000|74607991
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:47.841000|74607998
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:48.855000|74608005
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:49.869000|74608013
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:50.882000|74608020
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:51.898000|74608026
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:53.891000|74608035
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:54.906000|74608041
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:55.919000|74608047
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:56.944000|74608053
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:57.950000|74608059
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:58.971000|74608065
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:59.979000|74608071
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:00.989000|74608077
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:02.004000|74608085
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:03.016000|74608093
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:04.031000|74608099
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:05.056000|74608105
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:06.058000|74608111
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:07.073000|74608117
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:08.087000|74608125
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:09.102000|74608131
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:10.115000|74608137
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:11.131000|74608143
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:12.144000|74608149
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:13.157000|74608157
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:14.171000|74608164
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:15.185000|74608170
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:16.199000|74608176
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:17.212000|74608182
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:18.227000|74608188
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:19.241000|74608195
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:20.255000|74608201
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:21.271000|74608207
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:22.283000|74608213
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:23.297000|74608221
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:24.310000|74608227
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:25.325000|74608233
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:26.339000|74608239
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:27.353000|74608245
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:28.366000|74608252
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:29.381000|74608258
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:30.394000|74608264
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:31.409000|74608270
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:32.425000|74608278
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:04:33.437000|74608284
